action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,GRO011,monitor,20,13.1,Proposed
ACT0002,GRO017,automate,35,18.0,Complete
ACT0003,GRO018,monitor,16,20.8,In Review
ACT0004,GRO015,document,9,20.9,In Review
ACT0005,GRO016,monitor,18,13.1,Ready
ACT0006,GRO012,prioritize,8,6.9,Complete
ACT0007,GRO024,validate,42,7.3,In Review
ACT0008,GRO031,escalate,6,19.3,Ready
ACT0009,GRO036,validate,29,15.6,Ready
ACT0010,GRO030,escalate,12,6.8,In Review
ACT0011,GRO002,automate,32,17.1,Proposed
ACT0012,GRO002,prioritize,38,14.3,Complete
ACT0013,GRO030,document,8,7.8,In Review
ACT0014,GRO035,validate,36,16.3,Complete
ACT0015,GRO028,escalate,5,17.6,Complete
ACT0016,GRO035,prioritize,17,15.2,Complete
ACT0017,GRO026,escalate,24,11.1,In Review
ACT0018,GRO002,monitor,27,16.5,Proposed
ACT0019,GRO019,monitor,24,12.0,Ready
ACT0020,GRO005,automate,20,9.8,Complete
ACT0021,GRO031,validate,31,7.5,Complete
ACT0022,GRO011,automate,33,15.3,Ready
ACT0023,GRO004,prioritize,35,7.4,Ready
ACT0024,GRO005,automate,7,3.6,Proposed
ACT0025,GRO001,monitor,11,10.5,Proposed
ACT0026,GRO013,monitor,44,3.9,Complete
ACT0027,GRO015,escalate,37,12.1,Ready
ACT0028,GRO029,prioritize,38,4.3,In Review
ACT0029,GRO025,document,33,19.6,Proposed
ACT0030,GRO023,escalate,32,8.9,Proposed
ACT0031,GRO001,validate,28,13.2,In Review
ACT0032,GRO005,validate,36,4.2,Ready
ACT0033,GRO019,prioritize,14,18.7,Complete
ACT0034,GRO010,monitor,25,7.2,In Review
ACT0035,GRO013,escalate,42,20.1,In Review
ACT0036,GRO007,escalate,4,18.7,Ready
ACT0037,GRO034,validate,38,9.4,Ready
ACT0038,GRO013,prioritize,11,8.9,Ready
ACT0039,GRO032,escalate,28,2.4,Ready
ACT0040,GRO031,automate,34,2.5,In Review
ACT0041,GRO005,automate,11,9.9,Complete
ACT0042,GRO003,escalate,7,20.3,In Review
ACT0043,GRO035,document,8,19.9,Ready
ACT0044,GRO021,prioritize,16,19.7,In Review
ACT0045,GRO008,validate,18,19.8,Ready
ACT0046,GRO013,document,11,4.9,Proposed
ACT0047,GRO018,prioritize,28,7.5,Ready
ACT0048,GRO015,escalate,4,18.1,Ready
ACT0049,GRO023,validate,16,3.9,Proposed
ACT0050,GRO012,escalate,31,5.8,In Review
ACT0051,GRO023,validate,17,8.0,Proposed
ACT0052,GRO034,monitor,3,12.5,In Review
ACT0053,GRO004,prioritize,8,16.3,Proposed
ACT0054,GRO008,automate,23,8.3,In Review
ACT0055,GRO020,escalate,13,20.6,Ready
ACT0056,GRO032,prioritize,13,14.3,Ready
ACT0057,GRO018,automate,41,21.7,Proposed
ACT0058,GRO025,escalate,14,3.1,In Review
ACT0059,GRO031,document,25,2.9,In Review
ACT0060,GRO013,validate,7,20.4,Proposed
ACT0061,GRO016,document,8,9.3,Ready
ACT0062,GRO031,validate,33,15.5,Proposed
ACT0063,GRO024,escalate,39,20.4,In Review
ACT0064,GRO020,prioritize,22,23.4,Ready
ACT0065,GRO034,document,33,10.6,Complete
ACT0066,GRO017,document,19,23.2,In Review
ACT0067,GRO022,document,5,13.3,Complete
ACT0068,GRO023,monitor,36,15.4,Ready
ACT0069,GRO028,monitor,40,12.2,Complete
ACT0070,GRO030,monitor,42,21.4,Proposed
ACT0071,GRO017,automate,4,23.2,Ready
ACT0072,GRO025,prioritize,8,3.9,Ready
ACT0073,GRO022,document,35,22.9,Ready
ACT0074,GRO018,escalate,7,16.3,Complete
ACT0075,GRO016,escalate,27,6.7,Proposed
ACT0076,GRO026,automate,18,21.0,Complete
ACT0077,GRO015,monitor,27,12.0,Ready
ACT0078,GRO036,document,23,18.0,In Review
ACT0079,GRO007,prioritize,12,2.9,Ready
ACT0080,GRO036,prioritize,9,2.4,In Review
ACT0081,GRO007,prioritize,22,11.1,Ready
ACT0082,GRO032,escalate,30,22.7,Ready
ACT0083,GRO018,document,7,11.8,Proposed
ACT0084,GRO023,monitor,44,13.2,Complete
ACT0085,GRO015,escalate,11,18.5,Complete
ACT0086,GRO003,monitor,37,22.4,Ready
ACT0087,GRO015,monitor,38,10.4,Complete
ACT0088,GRO021,validate,41,2.2,Ready
ACT0089,GRO019,validate,42,10.2,Ready
ACT0090,GRO001,validate,27,22.0,In Review
ACT0091,GRO002,prioritize,24,2.2,In Review
ACT0092,GRO035,validate,21,14.7,Complete
ACT0093,GRO011,validate,12,15.7,Ready
ACT0094,GRO016,prioritize,28,22.8,Ready
ACT0095,GRO012,monitor,28,8.9,Ready
ACT0096,GRO011,validate,26,10.5,Complete
ACT0097,GRO005,prioritize,44,23.1,Complete
ACT0098,GRO017,escalate,22,9.5,In Review
ACT0099,GRO010,escalate,13,23.5,Ready
ACT0100,GRO030,automate,13,9.6,In Review
ACT0101,GRO023,escalate,20,13.2,Proposed
ACT0102,GRO025,document,25,19.9,In Review
ACT0103,GRO001,validate,9,17.6,Proposed
ACT0104,GRO003,automate,3,9.2,Ready
ACT0105,GRO028,automate,39,7.5,In Review
ACT0106,GRO036,escalate,13,13.8,Ready
ACT0107,GRO015,automate,18,13.5,Proposed
ACT0108,GRO021,document,25,7.8,In Review
ACT0109,GRO015,document,8,23.0,Proposed
ACT0110,GRO022,automate,28,9.0,In Review
ACT0111,GRO019,automate,7,15.5,Ready
ACT0112,GRO011,automate,20,11.8,Complete
ACT0113,GRO022,validate,39,6.6,Complete
ACT0114,GRO025,prioritize,4,10.2,In Review
ACT0115,GRO003,prioritize,2,20.4,Complete
ACT0116,GRO032,monitor,7,16.9,Complete
ACT0117,GRO010,escalate,33,3.4,Complete
ACT0118,GRO035,monitor,2,13.3,Proposed
ACT0119,GRO017,prioritize,10,22.6,In Review
ACT0120,GRO008,validate,20,5.9,In Review
ACT0121,GRO017,escalate,38,6.2,In Review
ACT0122,GRO002,monitor,27,18.4,Proposed
ACT0123,GRO009,monitor,42,3.5,Ready
ACT0124,GRO019,prioritize,29,10.4,In Review
ACT0125,GRO013,monitor,24,14.3,Proposed
ACT0126,GRO017,document,26,13.7,Ready
ACT0127,GRO036,escalate,3,6.2,Complete
ACT0128,GRO018,prioritize,26,23.8,In Review
ACT0129,GRO020,validate,15,2.6,Ready
ACT0130,GRO011,escalate,11,7.8,Complete
ACT0131,GRO033,prioritize,34,10.4,Complete
ACT0132,GRO023,validate,32,23.8,In Review
ACT0133,GRO014,monitor,33,10.3,In Review
ACT0134,GRO026,prioritize,37,17.2,Complete
ACT0135,GRO035,document,38,8.2,Ready
ACT0136,GRO029,validate,32,11.0,Complete
ACT0137,GRO014,document,26,16.3,Ready
ACT0138,GRO021,escalate,16,8.7,Ready
ACT0139,GRO032,document,44,2.3,Complete
ACT0140,GRO019,escalate,11,4.2,In Review
ACT0141,GRO035,monitor,12,20.4,In Review
ACT0142,GRO011,document,25,23.4,Complete
ACT0143,GRO013,automate,41,11.1,In Review
ACT0144,GRO015,document,30,20.0,In Review
ACT0145,GRO004,monitor,29,8.3,Ready
ACT0146,GRO011,document,29,9.5,Proposed
ACT0147,GRO002,validate,38,11.6,Ready
ACT0148,GRO008,validate,28,8.3,Proposed
ACT0149,GRO014,validate,43,10.1,Complete
ACT0150,GRO033,monitor,36,18.1,Ready
ACT0151,GRO012,escalate,40,23.6,Complete
ACT0152,GRO029,automate,31,5.1,Proposed
ACT0153,GRO001,automate,33,7.3,Proposed
ACT0154,GRO021,prioritize,32,15.4,Ready
ACT0155,GRO027,validate,9,14.5,In Review
ACT0156,GRO012,prioritize,11,21.6,Proposed
ACT0157,GRO018,automate,18,19.7,Ready
ACT0158,GRO020,validate,37,19.5,Proposed
ACT0159,GRO002,escalate,34,15.0,In Review
ACT0160,GRO027,automate,8,7.9,Proposed
ACT0161,GRO023,document,44,5.9,In Review
ACT0162,GRO023,monitor,13,3.7,Proposed
ACT0163,GRO026,document,27,3.3,In Review
ACT0164,GRO023,monitor,32,16.0,Complete
ACT0165,GRO003,automate,22,7.0,In Review
ACT0166,GRO024,validate,6,20.0,In Review
ACT0167,GRO019,validate,42,4.3,Proposed
ACT0168,GRO023,automate,13,9.2,In Review
ACT0169,GRO025,validate,26,2.9,Ready
ACT0170,GRO014,escalate,40,18.0,Ready
ACT0171,GRO035,validate,9,15.4,Complete
ACT0172,GRO005,prioritize,30,3.2,In Review
ACT0173,GRO019,automate,38,10.6,In Review
ACT0174,GRO021,escalate,14,23.5,Ready
ACT0175,GRO036,document,37,18.8,Complete
ACT0176,GRO032,escalate,39,19.3,In Review
ACT0177,GRO030,prioritize,37,12.9,Ready
ACT0178,GRO001,prioritize,24,5.6,In Review
ACT0179,GRO021,prioritize,14,10.7,Proposed
ACT0180,GRO030,automate,2,18.0,Proposed
ACT0181,GRO025,document,19,17.6,Proposed
ACT0182,GRO030,escalate,26,23.6,Proposed
ACT0183,GRO012,document,24,10.2,Ready
ACT0184,GRO016,document,13,8.9,Proposed
ACT0185,GRO017,document,17,22.3,In Review
ACT0186,GRO021,monitor,9,12.9,In Review
ACT0187,GRO035,automate,34,12.9,In Review
ACT0188,GRO031,monitor,31,9.1,Proposed
ACT0189,GRO008,prioritize,41,19.1,In Review
ACT0190,GRO021,document,28,10.3,Complete
ACT0191,GRO006,automate,41,13.8,Proposed
ACT0192,GRO004,validate,6,13.2,Proposed
ACT0193,GRO028,escalate,23,2.0,In Review
ACT0194,GRO029,automate,28,14.6,Complete
ACT0195,GRO014,document,19,12.2,In Review
ACT0196,GRO008,document,16,12.0,Proposed
ACT0197,GRO036,document,25,12.6,Proposed
ACT0198,GRO003,document,8,5.9,Ready
ACT0199,GRO028,monitor,10,23.5,Proposed
ACT0200,GRO015,automate,14,11.0,Complete
ACT0201,GRO013,escalate,6,20.6,In Review
ACT0202,GRO026,validate,15,13.7,Complete
ACT0203,GRO033,document,36,21.2,Complete
ACT0204,GRO012,escalate,6,10.4,Proposed
ACT0205,GRO007,document,37,16.9,Complete
ACT0206,GRO011,automate,36,19.8,Ready
ACT0207,GRO001,prioritize,18,21.4,Complete
ACT0208,GRO032,escalate,8,19.9,Proposed
ACT0209,GRO034,monitor,32,17.1,Ready
ACT0210,GRO026,document,2,15.6,Ready
ACT0211,GRO016,document,25,23.7,Proposed
ACT0212,GRO028,monitor,15,12.2,In Review
ACT0213,GRO012,escalate,39,10.8,In Review
ACT0214,GRO019,document,5,9.7,Ready
ACT0215,GRO028,document,26,10.1,In Review
ACT0216,GRO005,prioritize,19,11.6,Complete
ACT0217,GRO015,automate,42,5.7,In Review
ACT0218,GRO007,document,40,9.8,Ready
ACT0219,GRO014,escalate,21,12.6,Proposed
ACT0220,GRO030,validate,19,12.3,Proposed
